CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,CONCEPT_CODE,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
2720141.0,"Addition, endoskeletal system, above knee, ultra-light material (titanium, carbon fiber or equal)",Device,HCPCS,HCPCS,S,L5950,533,324,2010-03-03,2026-02-16
2720031.0,"Addition to lower extremity, above knee or knee disarticulation, acrylic socket",Device,HCPCS,HCPCS,S,L5631,533,327,2010-03-03,2026-02-16
2720026.0,"Addition to lower extremity, test socket, above knee",Device,HCPCS,HCPCS,S,L5624,533,325,2010-03-03,2026-02-16
2720046.0,"Addition to lower extremity, ischial containment/narrow m-l socket",Device,HCPCS,HCPCS,S,L5649,531,323,2010-03-03,2026-02-16
710134.0,"Gallium ga-68 gozetotide, diagnostic, (locametz), 1 millicurie",Device,HCPCS,HCPCS,S,A9800,511,439,2022-09-07,2026-01-23
2720137.0,"Addition, endoskeletal system, above knee or hip disarticulation, alignable system",Device,HCPCS,HCPCS,S,L5920,499,309,2010-03-03,2026-02-12
2719789.0,"Lift, elevation, heel and sole, neoprene, per inch",Device,HCPCS,HCPCS,S,L3310,496,348,2010-02-17,2025-11-19
2719940.0,"Upper limb orthosis, not otherwise specified",Device,HCPCS,HCPCS,S,L3999,486,460,2009-12-31,2025-07-07
2615094.0,"Gel sheet for dermal or epidermal application, (e.g., silicone, hydrogel, other), each",Device,HCPCS,HCPCS,S,A6025,481,414,2009-10-29,2023-05-30
2719751.0,"Hallus-valgus night dynamic splint, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3100,474,457,2011-04-05,2026-02-09
2719874.0,"Wrist hand orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3906,472,464,2009-12-03,2026-01-15
2719589.0,"Knee orthosis, immobilizer, canvas longitudinal, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L1830,460,432,2010-03-02,2026-02-13
2615230.0,"Gradient compression garment, not otherwise specified",Device,HCPCS,HCPCS,S,A6549,460,386,2010-11-04,2024-08-23
1314291.0,"Fluciclovine f-18, diagnostic, 1 millicurie",Device,HCPCS,HCPCS,S,A9588,460,378,2017-02-16,2025-07-02
2721869.0,Hand held low vision aids and other nonspectacle mounted aids,Device,HCPCS,HCPCS,S,V2600,455,439,2010-04-19,2026-02-12
2719731.0,"Addition to lower extremity orthosis, soft interface for molded plastic, below knee section",Device,HCPCS,HCPCS,S,L2820,442,413,2010-02-11,2026-02-13
2720001.0,"Immediate post surgical or early fitting, application of non-weight bearing rigid dressing, below knee",Device,HCPCS,HCPCS,S,L5450,425,405,2010-01-19,2025-12-10
2719828.0,"Orthopedic shoe, modification, addition or transfer, not otherwise specified",Device,HCPCS,HCPCS,S,L3649,405,383,2009-12-15,2026-02-09
4030875.0,Cardiac pacemaker,Device,SNOMED,Physical Object,S,14106009,398,392,1989-10-10,2024-04-29
2719419.0,"Cervical, flexible, non-adjustable, prefabricated, off-the-shelf (foam collar)",Device,HCPCS,HCPCS,S,L0120,397,388,2009-12-21,2026-02-03
2615287.0,"Tracheostomy/laryngectomy tube, cuffed, polyvinylchloride (pvc), silicone or equal, each",Device,HCPCS,HCPCS,S,A7521,396,243,2010-11-08,2026-02-12
2719458.0,"Tlso, triplanar control, modular segmented spinal system, three rigid plastic shells, posterior extends from the sacrococcygeal junction and terminates just inferior to the scapular spine, anterior extends from the symphysis pubis to the sternal notch,...",Device,HCPCS,HCPCS,S,L0462,389,385,2009-12-28,2012-10-12
2719854.0,"Wrist hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3806,385,359,2010-04-15,2026-01-12
2719674.0,"Addition to lower extremity, varus/valgus correction, plastic modification, padded/lined",Device,HCPCS,HCPCS,S,L2275,377,362,2010-02-11,2026-02-17
2616532.0,"Positioning cushion/pillow/wedge, any shape or size, includes all components and accessories",Device,HCPCS,HCPCS,S,E0190,359,357,2010-04-07,2025-11-21
44786596.0,"Static or dynamic ankle foot orthosis, including soft interface material, adjustable for fit, for positioning, may be used for minimal ambulation, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L4397,353,350,2015-06-15,2026-02-12
2719597.0,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated item that has been trimmed, bent, molded...",Device,HCPCS,HCPCS,S,L1845,352,333,2010-01-04,2025-10-24
2615196.0,"Self-adherent bandage, elastic, non-knitted/non-woven, width less than three inches, per yard",Device,HCPCS,HCPCS,S,A6453,348,285,2009-12-04,2025-12-08
44786590.0,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf",Device,HCPCS,HCPCS,S,L1833,343,331,2023-01-04,2026-02-04
2719506.0,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, anterior extends from symphysis pubis to xyphoid, produces intracavitary pressure to reduce load on the intervert...",Device,HCPCS,HCPCS,S,L0639,342,338,2009-12-17,2022-04-05
2615407.0,"Miscellaneous dme supply or accessory, not otherwise specified",Device,HCPCS,HCPCS,S,A9999,330,313,2010-03-11,2026-02-12
2720866.0,"High osmolar contrast material, 350-399 mg/ml iodine concentration, per ml",Device,HCPCS,HCPCS,S,Q9963,329,300,2010-01-07,2017-05-15
2719992.0,"Above knee, molded socket, open end, sach foot, endoskeletal system, single axis knee",Device,HCPCS,HCPCS,S,L5321,328,283,2010-03-03,2026-02-16
2720861.0,"High osmolar contrast material, up to 149 mg/ml iodine concentration, per ml",Device,HCPCS,HCPCS,S,Q9958,327,281,2010-07-14,2017-05-08
2720074.0,"Addition to lower extremity, below knee/above knee, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, not for use with locking mechanism",Device,HCPCS,HCPCS,S,L5679,323,157,2010-03-29,2026-02-16
2720149.0,"All lower extremity prostheses, foot, flexible keel",Device,HCPCS,HCPCS,S,L5972,318,293,2011-10-19,2026-02-16
2721957.0,"Hearing aid, digital, monaural, bte",Device,HCPCS,HCPCS,S,V5257,310,274,2014-12-30,2026-02-13
2719971.0,"Partial foot, shoe insert with longitudinal arch, toe filler",Device,HCPCS,HCPCS,S,L5000,300,249,2010-03-10,2026-02-16
2719880.0,"Hand finger orthosis (hfo), flexion glove with elastic finger control, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3912,295,285,2010-04-15,2026-02-02
2615107.0,"Contact layer, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",Device,HCPCS,HCPCS,S,A6207,295,184,2010-08-10,2016-09-26
2719492.0,"Lumbar orthosis, flexible, provides lumbar support, posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include pendulous abdomen design, shoulder...",Device,HCPCS,HCPCS,S,L0625,295,285,2012-02-29,2026-02-11
2615333.0,"Technetium tc-99m pertechnetate, diagnostic, per millicurie",Device,HCPCS,HCPCS,S,A9512,291,260,2008-04-17,2015-03-11
2719665.0,"Addition to lower extremity, dorsiflexion assist (plantar flexion resist), each joint",Device,HCPCS,HCPCS,S,L2210,288,281,2010-02-19,2026-02-11
2719934.0,"Upper extremity fracture orthosis, humeral, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3980,288,271,2009-12-10,2026-01-29
2720156.0,"All lower extremity prostheses, flex-walk system or equal",Device,HCPCS,HCPCS,S,L5981,284,243,2011-03-01,2026-01-29
2719617.0,"Ankle foot orthosis, plastic or other material, custom fabricated",Device,HCPCS,HCPCS,S,L1940,276,259,2010-01-08,2025-11-21
2719841.0,"Elbow orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3702,267,259,2009-12-07,2025-12-11
2721967.0,"Hearing aid or assistive listening device/supplies/accessories, not otherwise specified",Device,HCPCS,HCPCS,S,V5267,266,229,2014-03-07,2026-02-09
2719895.0,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), without joint/spring, extension/flexion (e.g., static or ring type), may include soft interface material, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3927,263,218,2009-11-09,2026-02-05
2721396.0,"Gradient pressure aid (sleeve), ready made",Device,HCPCS,HCPCS,S,S8424,261,200,2016-03-03,2024-08-13
2614910.0,"Cast supplies (e.g., plaster)",Device,HCPCS,HCPCS,S,A4580,259,118,2013-11-22,2026-02-12
