SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
2947-0,3000285,3000285,Sodium [Moles/volume] in Blood,LOINC,2947-0,S,3814568
33435-9,3043415,3043415,Inspiratory breath [Time] --on ventilator,LOINC,33435-9,S,3767974
68994-3,40771519,40771519,Performing laboratory name,LOINC,68994-3,S,3482578
26515-7,3007461,3007461,Platelets [#/volume] in Blood,LOINC,26515-7,S,3473394
55782-7,40758903,40758903,Hemoglobin [Mass/volume] in Blood by Oximetry,LOINC,55782-7,S,3436515
55283-6,40758412,40758412,Fetal Heart rate,LOINC,55283-6,S,3342552
8634-8,3025809,3025809,Q-T interval,LOINC,8634-8,S,3256573
732-8,3003215,3003215,Lymphocytes [#/volume] in Blood by Manual count,LOINC,732-8,S,3236969
6301-6,3022217,3022217,INR in Platelet poor plasma by Coagulation assay,LOINC,6301-6,S,3054367
5902-2,3034426,3034426,Prothrombin time (PT),LOINC,5902-2,S,3053806
60985-9,21490675,21490675,Central venous pressure (CVP),LOINC,60985-9,S,2810070
2777-1,3011904,3011904,Phosphate [Mass/volume] in Serum or Plasma,LOINC,2777-1,S,2797529
19994-3,3024882,3024882,Oxygen/Total gas setting [Volume Fraction] Ventilator,LOINC,19994-3,S,2783614
46099-8,3047107,3047107,Calcium [Mass/volume] corrected for albumin in Serum or Plasma,LOINC,46099-8,S,2740280
60839-8,21490591,21490591,Skin temperature --in microenvironment,LOINC,60839-8,S,2712330
75957-1,21490751,21490751,Temperature setting Infant microenvironment.incubator,LOINC,75957-1,S,2699854
19891-1,3035357,3035357,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,LOINC,19891-1,S,2203365
14979-9,3018677,3018677,aPTT in Platelet poor plasma by Coagulation assay,LOINC,14979-9,S,2195936
20054-3,3006802,3006802,Pressure maximum setting Ventilator alarm,LOINC,20054-3,S,2139629
1968-7,3027597,3027597,Bilirubin.direct [Mass/volume] in Serum or Plasma,LOINC,1968-7,S,2068331
8633-0,3022022,3022022,QRS duration,LOINC,8633-0,S,2030979
1971-1,3007359,3007359,Bilirubin.indirect [Mass/volume] in Serum or Plasma,LOINC,1971-1,S,2025826
8625-6,3007794,3007794,P-R Interval,LOINC,8625-6,S,2012009
53315-8,3039353,3039353,Urinalysis microscopic panel - Urine Qualitative by Automated,LOINC,53315-8,S,1868135
2703-7,3027801,3027801,Oxygen [Partial pressure] in Arterial blood,LOINC,2703-7,S,1855314
19829-1,3006805,3006805,Breaths maximum setting Ventilator alarm,LOINC,19829-1,S,1829754
50562-8,3029991,3029991,Specific gravity of Urine by Refractometry automated,LOINC,50562-8,S,1791584
50553-7,3029925,3029925,Color of Urine by Auto,LOINC,50553-7,S,1772013
50552-9,3029709,3029709,Clarity in Urine by Refractometry automated,LOINC,50552-9,S,1772010
50557-8,3030173,3030173,Ketones [Mass/volume] in Urine by Automated test strip,LOINC,50557-8,S,1758949
57751-0,40760861,40760861,Hemoglobin [Presence] in Urine by Automated test strip,LOINC,57751-0,S,1757662
53328-1,3039896,3039896,Glucose [Mass/volume] in Urine by Automated test strip,LOINC,53328-1,S,1757568
20099-8,3021471,3021471,Maximum tidal volume setting Ventilator alarm,LOINC,20099-8,S,1686819
20134-3,3025509,3025509,Minimum volume setting Ventilator alarm,LOINC,20134-3,S,1625624
47596-2,3050068,3050068,Calcium.ionized [Moles/volume] in Blood by Ion-selective membrane electrode (ISE),LOINC,47596-2,S,1622382
2744-1,3019977,3019977,pH of Arterial blood,LOINC,2744-1,S,1612809
1960-4,3008152,3008152,Bicarbonate [Moles/volume] in Arterial blood,LOINC,1960-4,S,1605062
2019-8,3027946,3027946,Carbon dioxide [Partial pressure] in Arterial blood,LOINC,2019-8,S,1601555
59842-5,40762903,40762903,Apnea interval Ventilator alarm,LOINC,59842-5,S,1601450
20100-4,3001941,3001941,Minimum tidal volume setting Ventilator alarm,LOINC,20100-4,S,1596627
1925-7,3003396,3003396,Base excess in Arterial blood by calculation,LOINC,1925-7,S,1591015
33022-5,3029797,3029797,Carbon dioxide [Partial pressure] in Capillary blood by Transcutaneous CO2 monitor,LOINC,33022-5,S,1546599
2714-4,3014007,3014007,Fractional oxyhemoglobin in Arterial blood,LOINC,2714-4,S,1536364
59274-1,40762365,40762365,Oxygen content in Arterial blood by calculation,LOINC,59274-1,S,1530887
20941-1,3037428,3011904,Phosphate [Mass/volume] in Serum or Plasma,LOINC,2777-1,S,1505680
99720-5,1989190,1989190,Transmembrane pressure Renal replacement therapy circuit,LOINC,99720-5,S,1459263
8889-8,3001376,3001376,Heart rate by Pulse oximetry,LOINC,8889-8,S,1327209
8893-0,3003841,3003841,Heart rate Peripheral artery by palpation,LOINC,8893-0,S,1327209
66746-9,40769406,40769406,Specimen type,LOINC,66746-9,S,1315524
