ANCESTOR_CONCEPT_ID,ANCESTOR_CONCEPT_NAME,ANCESTOR_DOMAIN_ID,ANCESTOR_VOCABULARY_ID,ANCESTOR_CONCEPT_CLASS_ID,ANCESTOR_STANDARD_CONCEPT,ANCESTOR_CONCEPT_CODE,DESCENDANT_CONCEPTS_PRESENT,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
4110368,Orthotic procedure,Procedure,SNOMED,Procedure,S,18157004,3,739,717,2009-12-10,2026-01-26
4047347,Fitting procedure,Procedure,SNOMED,Procedure,S,122467006,1,734,713,2009-12-10,2026-01-26
4030855,Orthotic device construction and fitting,Procedure,SNOMED,Procedure,S,14490000,1,734,713,2009-12-10,2026-01-26
4290180,Fitting of orthotic device,Procedure,SNOMED,Procedure,S,37030005,1,734,713,2009-12-10,2026-01-26
2719957,"Repair of orthotic device, labor component, per 15 minutes",Device,HCPCS,HCPCS,S,L4205,1,734,713,2009-12-10,2026-01-26
2719811,"Heel, pad, removable for spur",Device,HCPCS,HCPCS,S,L3485,1,729,702,2010-02-09,2025-07-31
4223887,Appliance,Device,SNOMED,Physical Object,S,334251007,11,729,696,1985-01-03,2026-01-28
2721964,"Ear mold/insert, not disposable, any type",Device,HCPCS,HCPCS,S,V5264,1,716,541,2010-05-25,2026-02-13
2720425,"Prosthetic shrinker, above knee, each",Device,HCPCS,HCPCS,S,L8460,1,711,476,2009-12-30,2026-02-16
2720422,"Prosthetic sock, multiple ply, above knee, each",Device,HCPCS,HCPCS,S,L8430,1,711,442,2010-03-03,2026-02-16
4297453,Stabilizing appliance,Device,SNOMED,Physical Object,S,7704007,5,711,678,2004-04-04,2026-01-28
2719746,"Foot, arch support, removable, premolded, metatarsal, each",Device,HCPCS,HCPCS,S,L3050,1,710,682,2016-11-22,2026-02-04
2721960,"Hearing aid, digital, binaural, ite",Device,HCPCS,HCPCS,S,V5260,1,710,602,2010-03-30,2026-01-30
4042424,Splint,Device,SNOMED,Physical Object,S,16650009,1,686,653,2009-12-28,2026-01-28
4085902,Provision of appliances,Procedure,SNOMED,Procedure,S,243704004,6,681,678,2010-01-27,2026-02-03
4209851,Provision of services and equipment,Procedure,SNOMED,Procedure,S,312637008,6,681,678,2010-01-27,2026-02-03
4176811,Equipment-related management procedure,Procedure,SNOMED,Procedure,S,363108004,6,681,678,2010-01-27,2026-02-03
4259570,Provision of device,Procedure,SNOMED,Procedure,S,439894008,6,681,678,2010-01-27,2026-02-03
4036582,Provision of orthosis,Procedure,SNOMED,Procedure,S,228595003,6,681,678,2010-01-27,2026-02-03
2719795,Heel wedge,Device,HCPCS,HCPCS,S,L3350,1,677,662,2011-02-02,2025-10-07
2720470,"Patient programmer (external) for use with implantable programmable neurostimulator pulse generator, replacement only",Device,HCPCS,HCPCS,S,L8681,1,661,626,2010-06-01,2023-03-16
2719892,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3924,1,655,628,2014-09-04,2026-02-11
2719510,"Halo procedure, cervical halo incorporated into jacket vest",Device,HCPCS,HCPCS,S,L0810,1,654,652,2010-01-27,2026-02-03
4024602,Equipment-related procedure,Procedure,SNOMED,Procedure,S,225299006,1,654,652,2010-01-27,2026-02-03
4001217,Management procedure,Procedure,SNOMED,Procedure,S,119270007,1,654,652,2010-01-27,2026-02-03
44786593,"Wrist hand finger orthosis, without joint(s), prefabricated, off-the-shelf, any type",Device,HCPCS,HCPCS,S,L3809,1,648,632,2014-07-09,2026-02-11
2720160,"All lower extremity prostheses, multi-axial rotation unit ('mcp' or equal)",Device,HCPCS,HCPCS,S,L5986,1,635,529,2010-02-04,2026-01-29
2615286,"Tracheostomy/laryngectomy tube, non-cuffed, polyvinylchloride (pvc), silicone or equal, each",Device,HCPCS,HCPCS,S,A7520,1,625,347,2010-01-11,2026-02-11
800998,"Piflufolastat f-18, diagnostic, 1 millicurie",Device,HCPCS,HCPCS,S,A9595,1,607,549,2022-11-02,2026-02-13
4305315,Perioperative care,Observation,SNOMED,Procedure,S,133897009,4,595,552,2010-01-06,2025-12-10
4305581,Application of dressing,Procedure,SNOMED,Procedure,S,3895009,4,595,552,2010-01-06,2025-12-10
4021200,Care of patient states,Observation,SNOMED,Procedure,S,225355000,4,595,552,2010-01-06,2025-12-10
4232651,Application of device,Procedure,SNOMED,Procedure,S,360030002,4,595,552,2010-01-06,2025-12-10
4132648,Application,Procedure,SNOMED,Procedure,S,410619003,4,595,552,2010-01-06,2025-12-10
4046550,Postoperative care,Observation,SNOMED,Procedure,S,133899007,4,595,552,2010-01-06,2025-12-10
4022559,Post-surgical wound care,Observation,SNOMED,Procedure,S,226007004,4,595,552,2010-01-06,2025-12-10
4021315,Wound care,Observation,SNOMED,Procedure,S,225358003,4,595,552,2010-01-06,2025-12-10
4021166,Care regime,Observation,SNOMED,Procedure,S,225365006,4,595,552,2010-01-06,2025-12-10
42539077,Surgery care,Observation,SNOMED,Procedure,S,736770009,4,595,552,2010-01-06,2025-12-10
40483561,Procedure on wound,Procedure,SNOMED,Procedure,S,442460002,4,595,552,2010-01-06,2025-12-10
2720428,"Prosthetic sock, single ply, fitting, above knee, each",Device,HCPCS,HCPCS,S,L8480,1,590,344,2010-03-03,2026-02-16
2719833,"Shoulder orthosis, acromio/clavicular (canvas and webbing type), prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3670,1,586,574,2009-11-18,2026-02-02
2720091,"Replacement, socket, below knee, molded to patient model",Device,HCPCS,HCPCS,S,L5700,1,585,354,2010-04-28,2026-02-05
